country_code,country,year,adult_literacy_rate_(pct),primary_school_completion_rate_(pct),primary_school_enrollment_rate_(pct)
MDA,Moldova,2021,99.5999984741211,107.466682434082,107.823852539063
MDG,Madagascar,2018,76.6796798706055,65.4687728881836,142.534286499023
MEX,Mexico,2020,95.2478485107422,102.662628173828,103.692047119141
MLT,Malta,2018,94.5031890869141,103.57763671875,106.674171447754
MNE,Montenegro,2021,98.9800033569336,101.114128112793,102.253273010254
MNG,Mongolia,2020,99.1832733154297,107.745254516602,102.853561401367
MOZ,Mozambique,2017,60.6554298400879,47.1429100036621,107.813247680664
MRT,Mauritania,2017,53.4975891113281,69.7143096923828,96.6590423583984
MUS,Mauritius,2021,92.1500015258789,96.37744140625,98.3996429443359
MYS,Malaysia,2019,94.9711303710938,100.657363891602,104.382522583008
NAM,Namibia,2021,92.25,109.669059753418,125.701362609863
NER,Niger,2021,37.3400001525879,57.8646392822266,64.795036315918
NPL,Nepal,2021,71.1500015258789,103.631309509277,125.379119873047
OMN,Oman,2018,95.6515274047852,100.35710144043,103.392059326172
PAK,Pakistan,2019,57.9988594055176,72.9254531860352,95.4841384887695
PER,Peru,2018,94.4082717895508,96.1007385253906,106.945121765137
PHL,Philippines,2019,96.2781677246094,105.755264282227,99.1477203369141
PRT,Portugal,2018,96.1375885009766,99.5701904296875,106.826728820801
PSE,West Bank and Gaza,2020,97.5144577026367,101.64119720459,96.4271926879883
QAT,Qatar,2017,93.4639663696289,95.669548034668,103.280738830566
ROU,Romania,2018,98.8444976806641,85.2217712402344,87.3253784179688
RUS,Russian Federation,2018,99.7300567626953,101.96321105957,104.678817749023
RWA,Rwanda,2021,75.9000015258789,91.0010528564453,140.704147338867
SAU,Saudi Arabia,2020,97.5850677490234,99.3273086547852,100.219467163086
SDN,Sudan,2018,60.6971817016602,64.0855026245117,78.9529037475586
SEN,Senegal,2021,56.2999992370605,62.9891891479492,81.2439422607422
SGP,Singapore,2020,97.1318511962891,101.401397705078,100.535911560059
SLE,Sierra Leone,2021,47.7000007629395,98.0181274414063,156.445053100586
SRB,Serbia,2019,99.4825286865234,98.6684494018555,99.6447067260742
SUR,Suriname,2021,95.0,80.3766326904297,100.747749328613
SWZ,Eswatini,2018,88.4193801879883,94.4848709106445,114.693618774414
SYC,Seychelles,2020,96.1999969482422,102.679740905762,100.794998168945
TCD,Chad,2021,26.7600002288818,44.5021018981934,93.7421417236328
TGO,Togo,2019,66.5370788574219,87.4238662719727,124.31861114502
THA,Thailand,2021,94.0999984741211,94.7827682495117,99.7014846801758
TLS,Timor-Leste,2020,69.9000015258789,101.289863586426,110.718757629395
TUN,Tunisia,2021,82.6999969482422,104.701736450195,112.251937866211
TUR,Turkiye,2019,96.7422103881836,90.8467712402344,97.0574722290039
URY,Uruguay,2018,98.703857421875,103.224647521973,106.017227172852
UZB,Uzbekistan,2019,99.9999465942383,105.622688293457,102.221481323242
WSM,Samoa,2021,99.0999984741211,114.16934967041,122.035301208496
ZAF,South Africa,2019,95.0229721069336,91.9994888305664,98.3744735717773
ZWE,Zimbabwe,2021,89.6999969482422,84.8186187744141,96.1178359985352
